snapshot_week,cycle_name,cycle_type,vol_original,vol_int_date,vol_int_cancel,vol_int_grade,vol_int_any,vol_ext_cancel,vol_ext_date_rev,vol_ext_any,mes_alvo,kr1,kr1_pct,mes_alvo_str
2025-11-10,Whateverproof / LifeProof,Extra,8642,0,0,0,0,7478,0,7478,2025-12,1.0,100.0,2025-12
2025-11-17,Alocação extra Adapt Fit,Extra,17600,0,0,0,0,0,2250,2250,2025-11,1.0,100.0,2025-11
2025-11-17,BOLD 2 - Revisada,Extra,84506,0,0,0,0,23925,0,23925,2026-01,1.0,100.0,2026-01
2025-11-17,C012026B,Base,394640,3266,0,0,3266,92633,34283,126916,2026-01,0.9917241029799311,99.2,2026-01
2025-11-17,C022026,Base,361086,2042,0,1743,13300,32909,6592,37449,2026-02,0.96316666943609,96.3,2026-02
2025-11-17,C032026,Base,299397,0,0,1264,2292,0,0,0,2026-03,0.9923446126714697,99.2,2026-03
2025-11-17,C112025,Base,709871,2498,0,1968,9800,80699,76556,157255,2025-11,0.9861946748071129,98.6,2025-11
2025-11-17,C122025,Base,536059,0,0,1104,4883,99775,78693,178468,2025-12,0.9908909280508302,99.1,2025-12
2025-11-17,Café lab,Extra,16091,0,0,0,0,2503,0,2503,2025-11,1.0,100.0,2025-11
2025-11-17,EPA0309,Extra,7860,0,0,0,0,2000,856,2856,2025-12,1.0,100.0,2025-12
2025-11-17,EPA0711,Extra,37397,12496,0,0,12496,0,0,0,2026-01,0.6658555499104206,66.6,2026-01
2025-11-17,EPA08TPT,Extra,29998,0,0,0,0,0,9999,9999,2025-11,1.0,100.0,2025-11
2025-11-17,EPA1011,Extra,16747,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-17,EPA1111,Extra,3476,0,0,452,766,0,0,0,2025-12,0.7796317606444189,78.0,2025-12
2025-11-17,EPA1209,Extra,2368,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-11-17,EPA1308,Extra,628,0,0,0,0,0,628,628,2025-11,1.0,100.0,2025-11
2025-11-17,EPA1311,Extra,400,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-17,EPA1411,Extra,3460,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-11-17,EPA1510,Extra,17749,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-17,EPA1609,Extra,12599,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-17,EPA1711,Extra,335,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-11-17,EPA1811,Extra,12056,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-17,EPA1908,Extra,1092,0,0,0,0,0,0,0,2025-12,1.0,100.0,2025-12
2025-11-17,EPA2010,Extra,437,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-17,EPA2111,Extra,12112,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-17,EPA2609,Extra,12604,0,0,0,0,0,1008,1008,2025-11,1.0,100.0,2025-11
2025-11-17,EPA2706,Extra,75678,0,0,0,0,64608,3000,67608,2025-11,1.0,100.0,2025-11
2025-11-17,EPA2710,Extra,9,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-17,EPA2808,Extra,17799,0,0,0,0,12800,0,12800,2025-11,1.0,100.0,2025-11
2025-11-17,EPA2908,Extra,2746,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
2025-11-17,EPA2909,Extra,15900,0,0,0,0,0,0,0,2025-11,1.0,100.0,2025-11
