cycle_name,cycle_type,vol_original,vol_int_date,vol_int_cancel,vol_int_grade,vol_int_any,vol_ext_cancel,vol_ext_date_rev,vol_ext_any,n_ops,n_skus,baseline_date,kr1,kr1_pct,pct_int_date,pct_int_cancel,pct_int_grade,mes_alvo
GRAFENO,Extra,4408,1207,0,636,1843,0,3201,3201,14,32,2025-11-10,0.5818965517241379,58.2,27.4,0.0,14.4,2026-01
EPA0212,Extra,4108,0,0,0,0,0,2665,2665,4,15,2025-12-03,1.0,100.0,0.0,0.0,0.0,2026-01
LAN0209,Extra,3199,2400,0,0,2400,0,799,799,8,10,2025-11-10,0.2497655517349172,25.0,75.0,0.0,0.0,2026-01
C1_R_qualidade,Extra,1728,0,0,0,0,1728,0,1728,1,7,2026-01-06,1.0,100.0,0.0,0.0,0.0,2026-01
C1_R_qualidade2,Extra,1728,0,0,0,0,0,0,0,1,6,2026-01-07,1.0,100.0,0.0,0.0,0.0,2026-01
C012026-RT,Base,904,0,0,0,0,0,0,0,1,4,2026-01-13,1.0,100.0,0.0,0.0,0.0,2026-01
C102026_RD,Base,657,0,0,0,0,0,0,0,1,2,2026-01-14,1.0,100.0,0.0,0.0,0.0,2026-01
EPA2010,Extra,437,0,0,0,0,0,437,437,1,5,2025-11-10,1.0,100.0,0.0,0.0,0.0,2026-01
EPA1311,Extra,400,0,0,0,0,400,400,400,1,5,2025-11-14,1.0,100.0,0.0,0.0,0.0,2026-01
EPA0601,Extra,222,0,0,0,0,0,222,222,2,4,2026-01-08,1.0,100.0,0.0,0.0,0.0,2026-01
C022026,Base,361086,53092,2737,20465,63016,56647,203566,252427,244,378,2025-11-10,0.8254820181341841,82.5,14.7,0.8,5.7,2026-02
EPA1011,Extra,16747,2327,0,0,2327,752,9912,10664,15,44,2025-11-11,0.8610497402519854,86.1,13.9,0.0,0.0,2026-02
EPA1712,Extra,12498,0,0,0,0,0,0,0,3,5,2025-12-18,1.0,100.0,0.0,0.0,0.0,2026-02
EPA2101,Extra,12450,350,0,0,350,0,7800,7800,4,8,2026-01-22,0.9718875502008032,97.2,2.8,0.0,0.0,2026-02
EPA1811,Extra,12056,2262,0,0,2262,955,6272,7227,13,25,2025-11-19,0.8123755806237558,81.2,18.8,0.0,0.0,2026-02
C2-Calcinhas_Red,Extra,7634,2700,0,1036,2700,0,4934,4934,8,9,2025-12-06,0.6463190987686664,64.6,35.4,0.0,13.6,2026-02
C2-Core-extra,Extra,6460,0,0,3055,3055,0,6460,6460,5,18,2025-12-06,0.5270897832817337,52.7,0.0,0.0,47.3,2026-02
EPA1112,Extra,6138,0,0,0,0,3150,2988,6138,6,27,2025-12-12,1.0,100.0,0.0,0.0,0.0,2026-02
EPA1601,Extra,5520,0,0,0,0,0,5520,5520,2,12,2026-01-19,1.0,100.0,0.0,0.0,0.0,2026-02
LAN2209,Extra,5061,0,0,0,0,0,5061,5061,20,56,2025-11-10,1.0,100.0,0.0,0.0,0.0,2026-02
EPA1212,Extra,4056,0,0,0,0,0,4056,4056,3,12,2025-12-13,1.0,100.0,0.0,0.0,0.0,2026-02
EPA1912,Extra,2604,2303,0,0,2303,301,0,301,8,28,2025-12-20,0.11559139784946237,11.6,88.4,0.0,0.0,2026-02
EPA1211,Extra,283,0,0,0,0,0,0,0,1,3,2025-12-12,1.0,100.0,0.0,0.0,0.0,2026-02
EPAB2B,Extra,19,0,0,0,0,0,19,19,1,1,2026-01-29,1.0,100.0,0.0,0.0,0.0,2026-02
C032026,Base,299397,88406,10742,27207,111553,5688,177686,183374,215,382,2025-11-15,0.6274077562567427,62.7,29.5,3.6,9.1,2026-03
EPA0512,Extra,168234,40029,2006,0,40534,42499,77676,120175,83,61,2025-12-13,0.7590617829927363,75.9,23.8,1.2,0.0,2026-03
LAN2410,Extra,57937,13404,0,0,13404,15662,19612,35274,48,84,2025-11-10,0.7686452526019643,76.9,23.1,0.0,0.0,2026-03
EPA0901,Extra,14641,1099,0,0,1099,0,13542,13542,10,19,2026-01-12,0.9249368212553787,92.5,7.5,0.0,0.0,2026-03
EPA0202,Extra,13299,0,0,0,0,0,3300,3300,3,8,2026-02-03,1.0,100.0,0.0,0.0,0.0,2026-03
LAN2509,Extra,10210,3899,1400,0,5299,3009,3402,5710,25,98,2025-11-10,0.48099902056807053,48.1,38.2,13.7,0.0,2026-03
LAN0502,Extra,10002,0,0,0,0,0,0,0,2,5,2026-02-07,1.0,100.0,0.0,0.0,0.0,2026-03
EPA2511,Extra,7999,4999,0,4999,4999,0,3000,3000,3,13,2025-11-26,0.3750468808601075,37.5,62.5,0.0,62.5,2026-03
EPA2301_01,Extra,5449,1150,0,0,1150,0,4299,4299,5,11,2026-01-26,0.7889521013029914,78.9,21.1,0.0,0.0,2026-03
EPA2301,Extra,5332,0,0,0,0,0,5332,5332,3,11,2026-01-23,1.0,100.0,0.0,0.0,0.0,2026-03
ECS0326,Extra,4600,0,0,0,0,0,4600,4600,4,3,2025-12-17,1.0,100.0,0.0,0.0,0.0,2026-03
EPA2201_01,Extra,2800,0,0,0,0,0,0,0,1,1,2026-01-23,1.0,100.0,0.0,0.0,0.0,2026-03
EPA2201,Extra,2299,2299,0,0,2299,0,0,0,2,6,2026-01-22,0.0,0.0,100.0,0.0,0.0,2026-03
LAN0112,Extra,2015,2015,0,0,2015,200,0,200,6,27,2025-12-02,0.0,0.0,100.0,0.0,0.0,2026-03
EPA2701,Extra,1970,0,0,0,0,0,1970,1970,1,1,2026-01-28,1.0,100.0,0.0,0.0,0.0,2026-03
EPA3001_01,Extra,1500,0,0,0,0,1500,0,1500,1,2,2026-01-31,1.0,100.0,0.0,0.0,0.0,2026-03
RIBANA19-02,Extra,1369,0,0,0,0,0,1369,1369,2,11,2026-02-20,1.0,100.0,0.0,0.0,0.0,2026-03
EPA2801,Extra,1250,0,0,0,0,630,620,1250,2,9,2026-01-30,1.0,100.0,0.0,0.0,0.0,2026-03
B2BTG5,Extra,4,0,0,0,0,0,0,0,2,2,2026-03-12,1.0,100.0,0.0,0.0,0.0,2026-03
LAN1912,Extra,0,0,0,0,0,0,0,0,1,0,2026-01-09,nan,nan,nan,nan,nan,2026-03
C042026,Base,356484,206117,43623,34971,250504,21866,77163,98529,244,428,2025-12-13,0.29729244510272546,29.7,57.8,12.2,9.8,2026-04
EPA0602,Extra,44500,19109,0,273,19109,0,22300,22300,17,31,2026-02-07,0.5705842696629213,57.1,42.9,0.0,0.6,2026-04
EPA1601_2,Extra,37001,26001,0,10400,31001,0,6000,6000,13,4,2026-01-19,0.1621577795194724,16.2,70.3,0.0,28.1,2026-04
EPAPRIVALIAB2B,Extra,21379,6639,0,6446,6639,0,0,0,13,77,2026-04-01,0.6894616212170822,68.9,31.1,0.0,30.2,2026-04
LAN1002,Extra,10002,0,0,0,0,0,5001,5001,2,5,2026-02-11,1.0,100.0,0.0,0.0,0.0,2026-04
LAN1812,Extra,8000,0,0,0,0,8000,0,8000,4,5,2025-12-19,1.0,100.0,0.0,0.0,0.0,2026-04
LAN1612,Extra,7797,0,7298,0,7298,499,0,499,13,36,2025-12-18,0.06399897396434528,6.4,0.0,93.6,0.0,2026-04
INS2301,Extra,3410,3410,0,0,3410,0,0,0,2,4,2026-01-30,0.0,0.0,100.0,0.0,0.0,2026-04
LAN2402,Extra,2634,1564,0,1219,2283,351,719,1070,5,16,2026-02-26,0.1332574031890661,13.3,59.4,0.0,46.3,2026-04
INS01,Extra,2612,2612,0,384,2612,0,0,0,2,8,2026-02-06,0.0,0.0,100.0,0.0,14.7,2026-04
INS3001,Extra,2460,0,1230,0,1230,0,0,0,2,8,2026-01-31,0.5,50.0,0.0,50.0,0.0,2026-04
R.INSEASON-C04,Extra,2174,2112,0,186,2112,0,62,62,2,7,2026-01-23,0.028518859245630135,2.9,97.1,0.0,8.6,2026-04
EPA1603,Extra,1967,1967,0,0,1967,0,0,0,3,9,2026-03-19,0.0,0.0,100.0,0.0,0.0,2026-04
EPA3001,Extra,1498,1498,0,0,1498,0,0,0,1,5,2026-01-31,0.0,0.0,100.0,0.0,0.0,2026-04
EPAPRIVALIAB2B.2,Extra,1111,0,0,0,0,1111,0,1111,2,2,2026-04-09,1.0,100.0,0.0,0.0,0.0,2026-04
INS2002,Extra,991,991,0,0,991,0,0,0,1,3,2026-03-06,0.0,0.0,100.0,0.0,0.0,2026-04
Polo_b2b,Extra,403,0,0,0,0,30,373,403,2,5,2026-04-03,1.0,100.0,0.0,0.0,0.0,2026-04
EPA0704,Extra,50,50,0,0,50,0,0,0,1,1,2026-04-08,0.0,0.0,100.0,0.0,0.0,2026-04
B2BTG4,Extra,3,0,0,0,0,0,0,0,3,3,2026-03-20,1.0,100.0,0.0,0.0,0.0,2026-04
C052026,Base,282514,180617,33965,42107,219360,15059,24907,39966,203,365,2026-01-20,0.223542904068471,22.4,63.9,12.0,14.9,2026-05
INS0903,Extra,21673,15152,1134,4165,16286,0,0,0,16,27,2026-03-13,0.24855811378212522,24.9,69.9,5.2,19.2,2026-05
INS2901,Extra,21339,10749,511,9519,11260,9519,560,10079,6,11,2026-02-04,0.472327662964525,47.2,50.4,2.4,44.6,2026-05
LAN2002,Extra,10000,10000,0,0,10000,0,0,0,4,10,2026-02-21,0.0,0.0,100.0,0.0,0.0,2026-05
