snapshot_week,cycle_name,cycle_type,supplier_name,product_name,vol_original,vol_int_date,vol_int_cancel,vol_int_grade,vol_int_any,vol_ext_cancel,vol_ext_date_rev,vol_ext_any,mes_alvo,kr1,kr1_pct,mes_alvo_str
2025-11-10,C012026B,Base,GOAT,Wingsuit Feminino,2349,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,"Gordon And Smith Confecção, Comércio e Serviços de Serigrafia - LTDA",Camiseta Henley Core Masculino,3000,0,0,0,0,3000,0,3000,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,"Gordon And Smith Confecção, Comércio e Serviços de Serigrafia - LTDA",Camiseta Polo Core Masculino,11884,0,0,0,0,11884,0,11884,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,"Gordon And Smith Confecção, Comércio e Serviços de Serigrafia - LTDA",Core T-Shirt Masculino,5000,0,0,0,0,5000,0,5000,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,"Gordon And Smith Confecção, Comércio e Serviços de Serigrafia - LTDA",Tech T-shirt High Neck Long Sleeve Feminino,4310,0,0,0,0,4310,0,4310,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,INTERTEXTIL,Calcinha Brief Feminino,1000,0,0,0,0,1000,0,1000,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,INTERTEXTIL,Calcinha Safe Feminino,1000,0,0,0,0,1000,0,1000,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,INTERTEXTIL,Calcinha String Feminino,2000,0,0,0,0,2000,0,2000,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,INTERTEXTIL,The Perfect Top Feminino,7592,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,LATINA,Structure Cropped Feminino,4133,0,0,0,0,4133,0,4133,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,LATINA,Structure Tank Feminino,4902,0,0,0,0,4902,0,4902,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,LUTESTIL,Cueca Boxer Comfort Simples Masculino,1377,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,LUTESTIL,Sutiã Comfy Feminino,1000,0,0,0,0,1000,0,1000,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,LUTESTIL,Sutiã Lounge Feminino,1000,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,LUTESTIL,The Perfect Top Feminino,15000,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,MALHAS D'STEFANO,Spectrum Socks High 2.0,12000,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,MALHAS D'STEFANO,Spectrum Socks Mid 2.0,16448,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,MAURA,Calça FutureForm Masculino,3916,0,0,0,0,0,1958,1958,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,MAURA,Saia Midi Kyoto Feminino,2622,0,0,0,0,0,750,750,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,MC & MC,Camisa FutureForm Feminino,1031,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,MC & MC,Camisa FutureForm Masculino,1247,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,NATURAL COMPANY CONFECCOES LTDA,Camiseta Polo Core Masculino,17663,0,0,0,0,0,8033,8033,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,NOVA FORMULA,Camiseta Henley Core Masculino,4526,0,0,0,0,0,2334,2334,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,NOVA FORMULA,Core T-Shirt Masculino,5940,0,0,0,0,0,1485,1485,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,PIXIE,Maxi Saia NYIN Feminino,4714,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,PIXIE,Tube Dress Feminino,4060,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,RDM,Vestido Esportivo Rush Feminino,325,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,RIZLLEP,Daily T-shirt Feminino,4924,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,RIZLLEP,Saia Envelope Breeze Feminino,513,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,RIZLLEP,Tech T-shirt Gola U Feminino,5056,0,0,0,0,0,0,0,2026-01,1.0,100.0,2026-01
2025-11-10,C012026B,Base,WARUSKY,Core T-Shirt Masculino,5004,0,0,0,0,5004,0,5004,2026-01,1.0,100.0,2026-01
2025-11-10,C022026,Base,ART LIVRE,Daily T-shirt Masculino,19960,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,ART LIVRE,Tech T-shirt Gola U Feminino,6775,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,ART LIVRE,Tech T-shirt Gola V Feminino,2555,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,ART LIVRE,Tech T-shirt Gola V Masculino,3720,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,ART LIVRE,Tech T-shirt Long Sleeve Feminino,4264,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,ART LIVRE,Tech T-shirt Long Sleeve Masculino,1047,0,0,0,0,1047,0,1047,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,ARTIGO X,Boné Outdoors,5573,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,ARTIGO X,Boné Sixx,2932,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,BAE BRASIL,Calcinha Brief Feminino,4420,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,BAE BRASIL,Calcinha Minimal Feminino,2100,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,BAE BRASIL,Calcinha Safe Feminino,2052,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,BAE BRASIL,Cueca Boxer Comfort Anti Suor Masculino,12056,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,BAE BRASIL,Cueca Boxer Performance Anti Suor Masculino,4924,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,BAE BRASIL,High Neck Tank Feminino,2397,0,0,0,0,2397,0,2397,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,BAE BRASIL,NoHo Socks,4000,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,BAE BRASIL,Skin Cropped Long Sleeve Feminino,2285,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,BAE BRASIL,SneakIN Socks,4000,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,BAE BRASIL,Spectrum Socks High 2.0,6168,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,BAE BRASIL,Spectrum Socks Mid 2.0,5816,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,BAE BRASIL,Tech T-shirt Gola U Masculino,29348,0,0,0,0,4130,0,4130,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,BAE BRASIL,Tech T-shirt Heavy Masculino,3546,0,0,0,0,2815,0,2815,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,BAE BRASIL,Tech T-shirt High Neck Long Sleeve Feminino,3569,0,0,541,1833,0,0,0,2026-02,0.48641075931633515,48.6,2026-02
2025-11-10,C022026,Base,BAE BRASIL,The Perfect Top Feminino,49173,0,0,0,0,0,0,0,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,BY COTTON,Tech T-shirt Gola U Masculino,40327,0,0,0,0,3229,0,3229,2026-02,1.0,100.0,2026-02
2025-11-10,C022026,Base,BY COTTON,Tech T-shirt Gola V Masculino,3152,0,0,0,0,2102,0,2102,2026-02,1.0,100.0,2026-02
