order_code,status,production_stage,cycle_name,sc_supplier_name,current_production_stages,dt_min_entry_warehouse,dt_planned_entry_warehouse,dt_reviewed_entry_warehouse,dt_planned_production_start,planned_quantity_op,received_quantity_op,planned_production_delivery_date,expected_production_delivery_date,expected_fabric_receiving_date,real_fabric_receiving_date,fabric_receiving_delay_days,mp_to_expected_production_end_lead_time_days,productive_lead_time_days,is_mp_late,is_mp_to_expected_end_lt_45_days,is_productive_lt_45_days,quality_supplier_name,audit_count,dt_first_audit_completed,first_audit_result_standardized,first_audit_deliberation_standardized,first_audit_defective_rate,pieces_rejected_in_first_audit_insider,quality_query_execution_date
OPF45N513,cut_fabric_and_sewing_process,cut_fabric_and_sewing_process,24-16-s3,FITMAX,cut_fabric_and_sewing_process,,2026-05-15,2026-06-19,2025-04-21,702,,2026-05-15,2026-06-19,2025-08-07,,,,102,,,False,,,,,,,,
OPF54N81,cut_fabric_and_sewing_process,cut_fabric_and_sewing_process,24-09-s3,FITMAX,cut_fabric_and_sewing_process,,2026-05-25,2026-06-30,2024-10-07,928,,2026-05-25,2026-06-30,,2024-10-07,,631,77,,False,False,,,,,,,,
