order_code,status,production_stage,cycle_name,sc_supplier_name,current_production_stages,dt_min_entry_warehouse,dt_planned_entry_warehouse,dt_reviewed_entry_warehouse,dt_planned_production_start,planned_quantity_op,received_quantity_op,planned_production_delivery_date,expected_production_delivery_date,expected_fabric_receiving_date,real_fabric_receiving_date,fabric_receiving_delay_days,mp_to_expected_production_end_lead_time_days,productive_lead_time_days,is_mp_late,is_mp_to_expected_end_lt_45_days,is_productive_lt_45_days,quality_supplier_name,audit_count,dt_first_audit_completed,first_audit_result_standardized,first_audit_deliberation_standardized,first_audit_defective_rate,pieces_rejected_in_first_audit_insider,quality_query_execution_date
OPF37N1913,items_delivery_and_invoicing,items_delivery_and_invoicing,C042026,BAE BRASIL,items_delivery_and_invoicing,,2026-05-11,2026-05-21,2026-01-21,2099,,2026-05-11,2026-05-21,2026-02-19,2026-02-27,8,83,58,true,false,false,BAE BRASIL,1,2026-05-15,qualita_approved,insider_no_deliberation,0.016129032258064516,0,2026-05-18
OPF37N1940,cut_fabric_and_sewing_process,cut_fabric_and_sewing_process,C052026,BAE BRASIL,cut_fabric_and_sewing_process,,2026-05-04,2026-06-01,2026-02-04,2126,,2026-05-04,2026-06-01,2026-03-05,2026-03-17,12,76,47,true,false,false,,,,,,,,
