tipo,n,mediana,media,p90,pct_ate_15d
Troca,97753,9.0,13.0,24,0.79
Devolução,12069,8.0,11.86,20,0.84
Sem reembolso,1203,9.0,14.66,26,0.78
Mista,308,9.0,10.82,18,0.86
